Old,New
Acidobacteria,Acidobacteriota
Actinobacteria,Actinomycetota
Aquificae,Aquificota
Armatimonadetes,Armatimonadota
Atribacterota,Atribacterota
Firmicutes,Bacillota
Bacteroidetes,Bacteroidota
Balneolaeota,Balneolota
Bdellovibrionota,Bdellovibrionota
Caldiserica,Caldisericota
Calditrichaeota,Calditrichota
Epsilonbacteraeota,Campylobacterota
Chlamydiae,Chlamydiota
Chlorobi,Chlorobiota
Chloroflexi,Chloroflexota
Chrysiogenetes,Chrysiogenota
Coprothermobacterota,Coprothermobacterota
Deferribacteres,Deferribacterota
Deinococcus-Thermus,Deinococcota
Dictyoglomi,Dictyoglomota
Elusimicrobia,Elusimicrobiota
Fibrobacteres,Fibrobacterota
Fusobacteria,Fusobacteriota
Gemmatimonadetes,Gemmatimonadota
Ignavibacteriae,Ignavibacteriota
Kiritimatiellaeota,Kiritimatiellota
Lentisphaerae,Lentisphaerota
Tenericutes,Mycoplasmatota
Myxococcota,Myxococcota
Thaumarchaeota,Nitrososphaerota
Nitrospinae,Nitrospinota
Nitrospirae,Nitrospirota
Planctomycetes,Planctomycetota
Proteobacteria,Pseudomonadota
Rhodothermaeota,Rhodothermota
Spirochaetes,Spirochaetota
Synergistetes,Synergistota
Thermodesulfobacteria,Thermodesulfobacteriota
Thermomicrobia,Thermomicrobiota
Crenarchaeota,Thermoproteota
Thermotogae,Thermotogota
Verrucomicrobia,Verrucomicrobiota
